bande_src;bande_dst;detecteur;delta_t
B01;B02;D01;-2.331086136
B01;B02;D02;2.32849882
B01;B02;D03;-2.30118852
B01;B02;D04;2.304124408
B01;B02;D05;-2.283867679
B01;B02;D06;2.292359535
B01;B02;D07;-2.28038921
B01;B02;D08;2.294547795
B01;B02;D09;-2.289196432
B01;B02;D10;2.310278236
B01;B02;D11;-2.309670779
B01;B02;D12;2.340857352
B01;B03;D01;-1.805418752
B01;B03;D02;1.80407777
B01;B03;D03;-1.781663235
B01;B03;D04;1.785665306
B01;B03;D05;-1.768769712
B01;B03;D06;1.776719592
B01;B03;D07;-1.766947006
B01;B03;D08;1.778465839
B01;B03;D09;-1.772133626
B01;B03;D10;1.790706064
B01;B03;D11;-1.78911121
B01;B03;D12;1.813950632
B01;B04;D01;-1.323245674
B01;B04;D02;1.319045185
B01;B04;D03;-1.306177785
B01;B04;D04;1.305159209
B01;B04;D05;-1.295982574
B01;B04;D06;1.298361041
B01;B04;D07;-1.294998665
B01;B04;D08;1.299815301
B01;B04;D09;-1.299299506
B01;B04;D10;1.308507449
B01;B04;D11;-1.310145715
B01;B04;D12;1.32657375
B01;B05;D01;-1.05919647
B01;B05;D02;1.05624653
B01;B05;D03;-1.045446777
B01;B05;D04;1.045239203
B01;B05;D05;-1.037158524
B01;B05;D06;1.039431159
B01;B05;D07;-1.036533877
B01;B05;D08;1.040946961
B01;B05;D09;-1.040151527
B01;B05;D10;1.047571287
B01;B05;D11;-1.049758762
B01;B05;D12;1.063115209
B01;B06;D01;-0.798397101
B01;B06;D02;0.789964761
B01;B06;D03;-0.788010368
B01;B06;D04;0.781290445
B01;B06;D05;-0.781192452
B01;B06;D06;0.777960796
B01;B06;D07;-0.781944659
B01;B06;D08;0.779131365
B01;B06;D09;-0.78477004
B01;B06;D10;0.784351239
B01;B06;D11;-0.791313065
B01;B06;D12;0.794160306
B01;B07;D01;-0.53450368
B01;B07;D02;0.526287423
B01;B07;D03;-0.528184298
B01;B07;D04;0.520183991
B01;B07;D05;-0.523263277
B01;B07;D06;0.517570326
B01;B07;D07;-0.523037903
B01;B07;D08;0.518809058
B01;B07;D09;-0.525276928
B01;B07;D10;0.522098309
B01;B07;D11;-0.529499601
B01;B07;D12;0.529860493
B01;B08;D01;-2.068256375
B01;B08;D02;2.066664832
B01;B08;D03;-2.041725783
B01;B08;D04;2.045091313
B01;B08;D05;-2.026498239
B01;B08;D06;2.03517435
B01;B08;D07;-2.023696588
B01;B08;D08;2.037016742
B01;B08;D09;-2.030873613
B01;B08;D10;2.05102263
B01;B08;D11;-2.049878355
B01;B08;D12;2.077702918
B01;B8A;D01;-0.274497881
B01;B8A;D02;0.259661467
B01;B8A;D03;-0.271188081
B01;B8A;D04;0.256112663
B01;B8A;D05;-0.268203554
B01;B8A;D06;0.255031296
B01;B8A;D07;-0.26885719
B01;B8A;D08;0.255161626
B01;B8A;D09;-0.270345086
B01;B8A;D10;0.256516816
B01;B8A;D11;-0.271928687
B01;B8A;D12;0.260784875
B01;B09;D01;0.26659262
B01;B09;D02;-0.273517453
B01;B09;D03;0.262743331
B01;B09;D04;-0.270309249
B01;B09;D05;0.261226373
B01;B09;D06;-0.2697005
B01;B09;D07;0.260534659
B01;B09;D08;-0.268680634
B01;B09;D09;0.262930005
B01;B09;D10;-0.271602176
B01;B09;D11;0.264534062
B01;B09;D12;-0.274082839
B01;B10;D01;-1.453728313
B01;B10;D02;1.471102069
B01;B10;D03;-1.43239809
B01;B10;D04;1.454202778
B01;B10;D05;-1.420222615
B01;B10;D06;1.450261788
B01;B10;D07;-1.419911748
B01;B10;D08;1.453184584
B01;B10;D09;-1.420837074
B01;B10;D10;1.463043429
B01;B10;D11;-1.437012434
B01;B10;D12;1.487029036
B01;B11;D01;-0.828665879
B01;B11;D02;0.839657895
B01;B11;D03;-0.816486499
B01;B11;D04;0.829283039
B01;B11;D05;-0.808608594
B01;B11;D06;0.829298566
B01;B11;D07;-0.809176487
B01;B11;D08;0.830216983
B01;B11;D09;-0.808529367
B01;B11;D10;0.835847773
B01;B11;D11;-0.817474778
B01;B11;D12;0.848821735
B01;B12;D01;-0.205291081
B01;B12;D02;0.207821599
B01;B12;D03;-0.200590561
B01;B12;D04;0.204566751
B01;B12;D05;-0.196601277
B01;B12;D06;0.207227257
B01;B12;D07;-0.198528219
B01;B12;D08;0.207399988
B01;B12;D09;-0.195539266
B01;B12;D10;0.208492905
B01;B12;D11;-0.198665372
B01;B12;D12;0.213484946
B02;B01;D01;2.331154952
B02;B01;D02;-2.328364708
B02;B01;D03;2.301215879
B02;B01;D04;-2.304083117
B02;B01;D05;2.283885955
B02;B01;D06;-2.29235963
B02;B01;D07;2.28041127
B02;B01;D08;-2.294542965
B02;B01;D09;2.28924922
B02;B01;D10;-2.31022633
B02;B01;D11;2.30977344
B02;B01;D12;-2.340684737
B02;B03;D01;0.525730758
B02;B03;D02;-0.524393444
B02;B03;D03;0.519545022
B02;B03;D04;-0.518451174
B02;B03;D05;0.515089462
B02;B03;D06;-0.515640195
B02;B03;D07;0.513413374
B02;B03;D08;-0.51608076
B02;B03;D09;0.517011431
B02;B03;D10;-0.51955937
B02;B03;D11;0.520498059
B02;B03;D12;-0.526870973
B02;B04;D01;1.007844833
B02;B04;D02;-1.009394793
B02;B04;D03;0.995002834
B02;B04;D04;-0.998941191
B02;B04;D05;0.987876618
B02;B04;D06;-0.99399008
B02;B04;D07;0.985390428
B02;B04;D08;-0.994725183
B02;B04;D09;0.989915098
B02;B04;D10;-1.001739789
B02;B04;D11;0.999577724
B02;B04;D12;-1.014219621
B02;B05;D01;1.271939649
B02;B05;D02;-1.272170061
B02;B05;D03;1.255764265
B02;B05;D04;-1.258857223
B02;B05;D05;1.24672709
B02;B05;D06;-1.252925395
B02;B05;D07;1.243873495
B02;B05;D08;-1.253597948
B02;B05;D09;1.249078276
B02;B05;D10;-1.262679232
B02;B05;D11;1.259965917
B02;B05;D12;-1.277646618
B02;B06;D01;1.532764952
B02;B06;D02;-1.538441577
B02;B06;D03;1.513194882
B02;B06;D04;-1.522802463
B02;B06;D05;1.502663098
B02;B06;D06;-1.514394938
B02;B06;D07;1.498420381
B02;B06;D08;-1.515412857
B02;B06;D09;1.50439358
B02;B06;D10;-1.525894016
B02;B06;D11;1.51833367
B02;B06;D12;-1.546582036
B02;B07;D01;1.796665899
B02;B07;D02;-1.802105178
B02;B07;D03;1.773037586
B02;B07;D04;-1.783905777
B02;B07;D05;1.760608279
B02;B07;D06;-1.774785628
B02;B07;D07;1.757338556
B02;B07;D08;-1.775732495
B02;B07;D09;1.763903967
B02;B07;D10;-1.78813327
B02;B07;D11;1.780175875
B02;B07;D12;-1.810876817
B02;B08;D01;0.262857231
B02;B08;D02;-0.261821671
B02;B08;D03;0.259463882
B02;B08;D04;-0.259030721
B02;B08;D05;0.257352259
B02;B08;D06;-0.257187957
B02;B08;D07;0.256665783
B02;B08;D08;-0.257532687
B02;B08;D09;0.258280429
B02;B08;D10;-0.259253932
B02;B08;D11;0.259738826
B02;B08;D12;-0.263130128
B02;B8A;D01;2.056640984
B02;B8A;D02;-2.068706981
B02;B8A;D03;2.030015605
