bande_src;bande_dst;detecteur;delta_t
B01;B02;D01;-2.328246203
B01;B02;D02;2.323503465
B01;B02;D03;-2.297386973
B01;B02;D04;2.299412183
B01;B02;D05;-2.281183515
B01;B02;D06;2.288498988
B01;B02;D07;-2.277575403
B01;B02;D08;2.291145473
B01;B02;D09;-2.28694287
B01;B02;D10;2.306125683
B01;B02;D11;-2.308971417
B01;B02;D12;2.33695909
B01;B03;D01;-1.803974866
B01;B03;D02;1.800394168
B01;B03;D03;-1.779650717
B01;B03;D04;1.782230771
B01;B03;D05;-1.767446303
B01;B03;D06;1.773187829
B01;B03;D07;-1.764805265
B01;B03;D08;1.775813012
B01;B03;D09;-1.771743867
B01;B03;D10;1.787401022
B01;B03;D11;-1.790434105
B01;B03;D12;1.811361872
B01;B04;D01;-1.322046133
B01;B04;D02;1.316522733
B01;B04;D03;-1.304520612
B01;B04;D04;1.303238678
B01;B04;D05;-1.295730355
B01;B04;D06;1.296405378
B01;B04;D07;-1.293384426
B01;B04;D08;1.29819585
B01;B04;D09;-1.298752591
B01;B04;D10;1.306980348
B01;B04;D11;-1.311256216
B01;B04;D12;1.324676708
B01;B05;D01;-1.058700831
B01;B05;D02;1.05380624
B01;B05;D03;-1.044677172
B01;B05;D04;1.043821359
B01;B05;D05;-1.037768099
B01;B05;D06;1.037431787
B01;B05;D07;-1.035929
B01;B05;D08;1.039856121
B01;B05;D09;-1.040300167
B01;B05;D10;1.046600614
B01;B05;D11;-1.049810156
B01;B05;D12;1.061453632
B01;B06;D01;-0.798069393
B01;B06;D02;0.788078568
B01;B06;D03;-0.787742484
B01;B06;D04;0.780505835
B01;B06;D05;-0.782581263
B01;B06;D06;0.776145315
B01;B06;D07;-0.781078252
B01;B06;D08;0.777328638
B01;B06;D09;-0.784165349
B01;B06;D10;0.782753207
B01;B06;D11;-0.792142271
B01;B06;D12;0.793973619
B01;B07;D01;-0.534557368
B01;B07;D02;0.524694588
B01;B07;D03;-0.527649864
B01;B07;D04;0.519681342
B01;B07;D05;-0.524532014
B01;B07;D06;0.517068392
B01;B07;D07;-0.523304229
B01;B07;D08;0.517443789
B01;B07;D09;-0.525337517
B01;B07;D10;0.520671117
B01;B07;D11;-0.530218451
B01;B07;D12;0.528518241
B01;B08;D01;-2.066306514
B01;B08;D02;2.062442814
B01;B08;D03;-2.038550853
B01;B08;D04;2.041563621
B01;B08;D05;-2.024691023
B01;B08;D06;2.031580464
B01;B08;D07;-2.021481186
B01;B08;D08;2.03405082
B01;B08;D09;-2.028983273
B01;B08;D10;2.047393842
B01;B08;D11;-2.049519162
B01;B08;D12;2.075034418
B01;B8A;D01;-0.27452774
B01;B8A;D02;0.259146261
B01;B8A;D03;-0.270501171
B01;B8A;D04;0.256619837
B01;B8A;D05;-0.269299027
B01;B8A;D06;0.254935842
B01;B8A;D07;-0.268796823
B01;B8A;D08;0.255147992
B01;B8A;D09;-0.269925849
B01;B8A;D10;0.256825263
B01;B8A;D11;-0.272514902
B01;B8A;D12;0.261022391
B01;B09;D01;0.267535025
B01;B09;D02;-0.273338357
B01;B09;D03;0.26441529
B01;B09;D04;-0.270690165
B01;B09;D05;0.262221737
B01;B09;D06;-0.269079934
B01;B09;D07;0.261789424
B01;B09;D08;-0.269443411
B01;B09;D09;0.263182444
B01;B09;D10;-0.271446186
B01;B09;D11;0.264659907
B01;B09;D12;-0.274407489
B01;B10;D01;-1.443826945
B01;B10;D02;1.475030609
B01;B10;D03;-1.427503027
B01;B10;D04;1.459079728
B01;B10;D05;-1.414805288
B01;B10;D06;1.453789454
B01;B10;D07;-1.412345936
B01;B10;D08;1.454472582
B01;B10;D09;-1.415296918
B01;B10;D10;1.465879033
B01;B10;D11;-1.431336119
B01;B10;D12;1.486288092
B01;B11;D01;-0.82027217
B01;B11;D02;0.844349692
B01;B11;D03;-0.810375116
B01;B11;D04;0.834758743
B01;B11;D05;-0.803545584
B01;B11;D06;0.832504625
B01;B11;D07;-0.802085785
B01;B11;D08;0.833904127
B01;B11;D09;-0.802603914
B01;B11;D10;0.84205226
B01;B11;D11;-0.811724476
B01;B11;D12;0.854203313
B01;B12;D01;-0.196139032
B01;B12;D02;0.214012906
B01;B12;D03;-0.194576135
B01;B12;D04;0.211374352
B01;B12;D05;-0.192937513
B01;B12;D06;0.212087197
B01;B12;D07;-0.191985863
B01;B12;D08;0.212907461
B01;B12;D09;-0.190782442
B01;B12;D10;0.216932789
B01;B12;D11;-0.193740146
B01;B12;D12;0.220229565
B02;B01;D01;2.328288327
B02;B01;D02;-2.323354779
B02;B01;D03;2.297390772
B02;B01;D04;-2.299360378
B02;B01;D05;2.281172863
B02;B01;D06;-2.288489297
B02;B01;D07;2.277564563
B02;B01;D08;-2.291132316
B02;B01;D09;2.286942798
