bande_src;bande_dst;detecteur;delta_t
B01;B02;D01;-2.341418125
B01;B02;D02;2.331005086
B01;B02;D03;-2.311345513
B01;B02;D04;2.306382649
B01;B02;D05;-2.295025738
B01;B02;D06;2.294178371
B01;B02;D07;-2.289145485
B01;B02;D08;2.296141282
B01;B02;D09;-2.297907274
B01;B02;D10;2.310517553
B01;B02;D11;-2.318532722
B01;B02;D12;2.340893321
B01;B03;D01;-1.815515627
B01;B03;D02;1.804957382
B01;B03;D03;-1.79149571
B01;B03;D04;1.785854048
B01;B03;D05;-1.779144185
B01;B03;D06;1.776678926
B01;B03;D07;-1.77431743
B01;B03;D08;1.778331496
B01;B03;D09;-1.781579412
B01;B03;D10;1.789253379
B01;B03;D11;-1.798189654
B01;B03;D12;1.813117703
B01;B04;D01;-1.331746605
B01;B04;D02;1.319823582
B01;B04;D03;-1.314381375
B01;B04;D04;1.305853212
B01;B04;D05;-1.305453992
B01;B04;D06;1.299218331
B01;B04;D07;-1.302680166
B01;B04;D08;1.300109044
B01;B04;D09;-1.306972632
B01;B04;D10;1.307853437
B01;B04;D11;-1.318595699
B01;B04;D12;1.325764409
B01;B05;D01;-1.066089865
B01;B05;D02;1.056546011
B01;B05;D03;-1.052426829
B01;B05;D04;1.04566535
B01;B05;D05;-1.045004534
B01;B05;D06;1.03994202
B01;B05;D07;-1.042475703
B01;B05;D08;1.040860718
B01;B05;D09;-1.046455774
B01;B05;D10;1.047395622
B01;B05;D11;-1.055408696
B01;B05;D12;1.06174122
B01;B06;D01;-0.804403822
B01;B06;D02;0.788667788
B01;B06;D03;-0.794255636
B01;B06;D04;0.781126718
B01;B06;D05;-0.788787943
B01;B06;D06;0.777067239
B01;B06;D07;-0.786721689
B01;B06;D08;0.777438307
B01;B06;D09;-0.789849778
B01;B06;D10;0.782306119
B01;B06;D11;-0.796758529
B01;B06;D12;0.79284752
B01;B07;D01;-0.540157448
B01;B07;D02;0.524580034
B01;B07;D03;-0.533382144
B01;B07;D04;0.519427545
B01;B07;D05;-0.529555791
B01;B07;D06;0.516950916
B01;B07;D07;-0.528180752
B01;B07;D08;0.516842571
B01;B07;D09;-0.530545267
B01;B07;D10;0.52055804
B01;B07;D11;-0.534973538
B01;B07;D12;0.527355885
B01;B08;D01;-2.078705418
B01;B08;D02;2.068410623
B01;B08;D03;-2.051505943
B01;B08;D04;2.046828285
B01;B08;D05;-2.036401858
B01;B08;D06;2.036028273
B01;B08;D07;-2.031725147
B01;B08;D08;2.03764085
B01;B08;D09;-2.040052826
B01;B08;D10;2.050630628
B01;B08;D11;-2.058490127
B01;B08;D12;2.077672199
B01;B8A;D01;-0.277645768
B01;B8A;D02;0.255644245
B01;B8A;D03;-0.274520327
B01;B8A;D04;0.253344231
B01;B8A;D05;-0.273110799
B01;B8A;D06;0.251920636
B01;B8A;D07;-0.272119844
B01;B8A;D08;0.252741809
B01;B8A;D09;-0.273297999
B01;B8A;D10;0.254876424
B01;B8A;D11;-0.276113829
B01;B8A;D12;0.257559323
B01;B09;D01;0.269205574
B01;B09;D02;-0.274288558
B01;B09;D03;0.265078509
B01;B09;D04;-0.270399603
B01;B09;D05;0.263565726
B01;B09;D06;-0.269761826
B01;B09;D07;0.263093565
B01;B09;D08;-0.26957102
B01;B09;D09;0.263721813
B01;B09;D10;-0.271917668
B01;B09;D11;0.266357063
B01;B09;D12;-0.274281138
B01;B10;D01;-1.490365357
B01;B10;D02;1.443069991
B01;B10;D03;-1.47066873
B01;B10;D04;1.42795252
B01;B10;D05;-1.458100054
B01;B10;D06;1.421064064
B01;B10;D07;-1.454724146
B01;B10;D08;1.422730055
B01;B10;D09;-1.460042938
B01;B10;D10;1.431796167
B01;B10;D11;-1.473975028
B01;B10;D12;1.451802482
B01;B11;D01;-0.866498753
B01;B11;D02;0.807319867
B01;B11;D03;-0.85496621
B01;B11;D04;0.797813475
B01;B11;D05;-0.847682712
B01;B11;D06;0.794525344
B01;B11;D07;-0.84539898
B01;B11;D08;0.795167455
B01;B11;D09;-0.848143776
B01;B11;D10;0.80104051
B01;B11;D11;-0.855964428
B01;B11;D12;0.812989972
B01;B12;D01;-0.24003798
B01;B12;D02;0.173912595
B01;B12;D03;-0.236998964
B01;B12;D04;0.171472069
B01;B12;D05;-0.23447056
B01;B12;D06;0.171586063
B01;B12;D07;-0.233180411
B01;B12;D08;0.172086229
B01;B12;D09;-0.234571904
B01;B12;D10;0.172859029
B01;B12;D11;-0.236379559
B01;B12;D12;0.177084532
B02;B01;D01;2.341520524
B02;B01;D02;-2.330843784
B02;B01;D03;2.311400082
B02;B01;D04;-2.306318838
B02;B01;D05;2.29506556
B02;B01;D06;-2.294166228
B02;B01;D07;2.28917728
B02;B01;D08;-2.296134733
B02;B01;D09;2.297966818
B02;B01;D10;-2.31046465
B02;B01;D11;2.318643663
B02;B01;D12;-2.34073796
B02;B03;D01;0.525951783
B02;B03;D02;-0.526008056
B02;B03;D03;0.519883746
B02;B03;D04;-0.520509955
B02;B03;D05;0.515912959
B02;B03;D06;-0.517493224
B02;B03;D07;0.514850619
B02;B03;D08;-0.517806619
B02;B03;D09;0.516350184
B02;B03;D10;-0.521249058
B02;B03;D11;0.520360358
B02;B03;D12;-0.527739996
B02;B04;D01;1.009769719
B02;B04;D02;-1.011103395
B02;B04;D03;0.99702005
B02;B04;D04;-1.0004922
B02;B04;D05;0.989617407
B02;B04;D06;-0.994947665
B02;B04;D07;0.986497439
B02;B04;D08;-0.996025679
B02;B04;D09;0.990980482
B02;B04;D10;-1.002634012
B02;B04;D11;1.000005493
B02;B04;D12;-1.015059163
B02;B05;D01;1.275361208
B02;B05;D02;-1.274370875
B02;B05;D03;1.258920816
B02;B05;D04;-1.260682888
B02;B05;D05;1.250008752
B02;B05;D06;-1.254230124
B02;B05;D07;1.246658971
B02;B05;D08;-1.255277347
B02;B05;D09;1.251456582
B02;B05;D10;-1.263093817
B02;B05;D11;1.263160998
B02;B05;D12;-1.279067633
B02;B06;D01;1.537094673
B02;B06;D02;-1.542222178
B02;B06;D03;1.517117346
B02;B06;D04;-1.525205588
B02;B06;D05;1.506252651
B02;B06;D06;-1.517098283
B02;B06;D07;1.502437184
B02;B06;D08;-1.518696548
B02;B06;D09;1.508092556
B02;B06;D10;-1.528171918
B02;B06;D11;1.521849733
B02;B06;D12;-1.547941137
B02;B07;D01;1.801348706
B02;B07;D02;-1.806301923
B02;B07;D03;1.778004882
B02;B07;D04;-1.786907963
B02;B07;D05;1.765493717
B02;B07;D06;-1.777218428
B02;B07;D07;1.760978119
B02;B07;D08;-1.779293614
B02;B07;D09;1.76739044
B02;B07;D10;-1.789916763
B02;B07;D11;1.783611577
B02;B07;D12;-1.813415663
B02;B08;D01;0.262769656
B02;B08;D02;-0.262563017
B02;B08;D03;0.259874678
B02;B08;D04;-0.259532747
B02;B08;D05;0.258658876
B02;B08;D06;-0.25814034
B02;B08;D07;0.25744933
B02;B08;D08;-0.258495948
B02;B08;D09;0.257895279
B02;B08;D10;-0.259874815
B02;B08;D11;0.260096755
B02;B08;D12;-0.263202652
B02;B8A;D01;2.063836097
B02;B8A;D02;-2.075211469
B02;B8A;D03;2.036835055
B02;B8A;D04;-2.052974874
B02;B8A;D05;2.021901554
B02;B8A;D06;-2.042240786
B02;B8A;D07;2.017008969
B02;B8A;D08;-2.043390256
B02;B8A;D09;2.024601096
B02;B8A;D10;-2.055586386
B02;B8A;D11;2.042443829
B02;B8A;D12;-2.083192279
B02;B09;D01;2.610696145
B02;B09;D02;-2.605110682
B02;B09;D03;2.576448
B02;B09;D04;-2.576711687
B02;B09;D05;2.558601266
B02;B09;D06;-2.563926044
B02;B09;D07;2.552250718
B02;B09;D08;-2.565704478
B02;B09;D09;2.561671768
B02;B09;D10;-2.58237652
B02;B09;D11;2.584986033
B02;B09;D12;-2.614999597
B02;B10;D01;0.851087054
B02;B10;D02;-0.887863096
B02;B10;D03;0.840684597
B02;B10;D04;-0.878388801
B02;B10;D05;0.836917987
B02;B10;D06;-0.87309506
B02;B10;D07;0.834407499
B02;B10;D08;-0.873403746
B02;B10;D09;0.837847899
B02;B10;D10;-0.878691821
B02;B10;D11;0.844550219
B02;B10;D12;-0.889039054
B02;B11;D01;1.474966393
B02;B11;D02;-1.523570003
B02;B11;D03;1.456383107
B02;B11;D04;-1.508517013
B02;B11;D05;1.447334796
B02;B11;D06;-1.499637392
B02;B11;D07;1.443743306
B02;B11;D08;-1.500968086
B02;B11;D09;1.449776404
B02;B11;D10;-1.509438529
B02;B11;D11;1.462626144
B02;B11;D12;-1.527811521
B02;B12;D01;2.101443469
B02;B12;D02;-2.156940453
B02;B12;D03;2.074360166
B02;B12;D04;-2.134845109
B02;B12;D05;2.060547083
B02;B12;D06;-2.122573932
B02;B12;D07;2.055953586
B02;B12;D08;-2.124046924
B02;B12;D09;2.063329141
B02;B12;D10;-2.137604293
B02;B12;D11;2.082182996
B02;B12;D12;-2.163672733
B03;B01;D01;1.815555883
B03;B01;D02;-1.804845412
B03;B01;D03;1.791513022
B03;B01;D04;-1.785808863
B03;B01;D05;1.779153198
B03;B01;D06;-1.776671405
B03;B01;D07;1.774325295
B03;B01;D08;-1.778332068
B03;B01;D09;1.781606582
B03;B01;D10;-1.789232576
B03;B01;D11;1.798256337
B03;B01;D12;-1.813038741
B03;B02;D01;-0.525936822
B03;B02;D02;0.526012299
B03;B02;D03;-0.519872347
B03;B02;D04;0.520510899
B03;B02;D05;-0.515904362
B03;B02;D06;0.517491838
B03;B02;D07;-0.514843633
B03;B02;D08;0.517806445
B03;B02;D09;-0.516342428
B03;B02;D10;0.521252185
B03;B02;D11;-0.520353427
B03;B02;D12;0.527751578
B03;B04;D01;0.483805126
B03;B04;D02;-0.485100339
B03;B04;D03;0.477130972
B03;B04;D04;-0.47998339
B03;B04;D05;0.4737029
B03;B04;D06;-0.477453136
B03;B04;D07;0.471645622
B03;B04;D08;-0.478218744
B03;B04;D09;0.474625423
B03;B04;D10;-0.481387705
B03;B04;D11;0.479632454
B03;B04;D12;-0.487330241
B03;B05;D01;0.749417616
B03;B05;D02;-0.748366616
B03;B05;D03;0.739051308
B03;B05;D04;-0.740172473
B03;B05;D05;0.734109898
B03;B05;D06;-0.736736744
B03;B05;D07;0.731818844
B03;B05;D08;-0.737473285
B03;B05;D09;0.735113555
B03;B05;D10;-0.741852985
B03;B05;D11;0.742796209
B03;B05;D12;-0.751344583
B03;B06;D01;1.011138355
B03;B06;D02;-1.016222091
B03;B06;D03;0.997239169
B03;B06;D04;-1.004696717
B03;B06;D05;0.990346849
B03;B06;D06;-0.999603642
B03;B06;D07;0.987590598
B03;B06;D08;-1.000891383
B03;B06;D09;0.991740127
B03;B06;D10;-1.006931855
B03;B06;D11;1.001473881
B03;B06;D12;-1.020224375
B03;B07;D01;1.275388124
B03;B07;D02;-1.280299759
B03;B07;D03;1.258121444
B03;B07;D04;-1.266397577
B03;B07;D05;1.249586068
B03;B07;D06;-1.259724385
B03;B07;D07;1.246132511
B03;B07;D08;-1.261489956
B03;B07;D09;1.251039016
B03;B07;D10;-1.268680127
B03;B07;D11;1.263240738
B03;B07;D12;-1.285704824
B03;B08;D01;-0.263182866
B03;B08;D02;0.263442726
B03;B08;D03;-0.260008006
B03;B08;D04;0.260975694
B03;B08;D05;-0.257253109
B03;B08;D06;0.259353484
B03;B08;D07;-0.257401621
B03;B08;D08;0.259312241
B03;B08;D09;-0.258457988
B03;B08;D10;0.261377805
B03;B08;D11;-0.260271476
B03;B08;D12;0.264543396
B03;B8A;D01;1.537884639
B03;B8A;D02;-1.549213744
B03;B8A;D03;1.51696309
B03;B8A;D04;-1.532466184
B03;B8A;D05;1.506003015
B03;B8A;D06;-1.524745093
B03;B8A;D07;1.502170589
B03;B8A;D08;-1.525585354
B03;B8A;D09;1.508260382
B03;B8A;D10;-1.534349703
B03;B8A;D11;1.522081434
B03;B8A;D12;-1.55548765
B03;B09;D01;2.084742746
B03;B09;D02;-2.079114327
B03;B09;D03;2.056571584
B03;B09;D04;-2.056202146
B03;B09;D05;2.042697264
B03;B09;D06;-2.046430785
B03;B09;D07;2.037404165
B03;B09;D08;-2.047902727
B03;B09;D09;2.045315728
B03;B09;D10;-2.06114685
B03;B09;D11;2.064602038
B03;B09;D12;-2.087307052
B03;B10;D01;0.325142314
B03;B10;D02;-0.36186011
B03;B10;D03;0.32081148
B03;B10;D04;-0.357880507
B03;B10;D05;0.321017398
B03;B10;D06;-0.355598739
B03;B10;D07;0.319568581
B03;B10;D08;-0.355595883
B03;B10;D09;0.321510856
B03;B10;D10;-0.357443303
B03;B10;D11;0.324198848
B03;B10;D12;-0.36130377
B03;B11;D01;0.949020023
B03;B11;D02;-0.997569968
B03;B11;D03;0.936513337
B03;B11;D04;-0.98800788
B03;B11;D05;0.931434783
B03;B11;D06;-0.982141765
B03;B11;D07;0.928901128
B03;B11;D08;-0.983162875
B03;B11;D09;0.933430785
B03;B11;D10;-0.988198703
B03;B11;D11;0.94225563
B03;B11;D12;-1.000090415
B03;B12;D01;1.575491913
B03;B12;D02;-1.630941868
B03;B12;D03;1.554486822
B03;B12;D04;-1.614335756
B03;B12;D05;1.544646942
B03;B12;D06;-1.605077631
B03;B12;D07;1.541113546
B03;B12;D08;-1.606242424
B03;B12;D09;1.546987945
B03;B12;D10;-1.616369493
B03;B12;D11;1.561819343
B03;B12;D12;-1.635966523
B04;B01;D01;1.331736035
B04;B01;D02;-1.319763709
B04;B01;D03;1.314374549
B04;B01;D04;-1.305831043
B04;B01;D05;1.305448128
B04;B01;D06;-1.299216494
B04;B01;D07;1.302680281
B04;B01;D08;-1.300109902
B04;B01;D09;1.306981855
B04;B01;D10;-1.307844133
B04;B01;D11;1.318622326
B04;B01;D12;-1.325718933
B04;B02;D01;-1.009718983
B04;B02;D02;1.011138321
B04;B02;D03;-0.996988785
B04;B02;D04;1.000510595
B04;B02;D05;-0.98959849
B04;B02;D06;0.994954545
B04;B02;D07;-0.986481417
B04;B02;D08;0.996031567
B04;B02;D09;-0.990963307
B04;B02;D10;1.002648879
B04;B02;D11;-0.999978374
B04;B02;D12;1.015095029
B04;B03;D01;-0.483794031
B04;B03;D02;0.485113763
B04;B03;D03;-0.477124903
B04;B03;D04;0.479991714
B04;B03;D05;-0.473700133
B04;B03;D06;0.477457992
B04;B03;D07;-0.471643617
B04;B03;D08;0.478222077
B04;B03;D09;-0.474623357
B04;B03;D10;0.481392303
B04;B03;D11;-0.479625822
B04;B03;D12;0.487336762
B04;B05;D01;0.265617998
B04;B05;D02;-0.263265614
B04;B05;D03;0.261927143
B04;B05;D04;-0.260184584
B04;B05;D05;0.26041518
B04;B05;D06;-0.259277817
B04;B05;D07;0.260184445
B04;B05;D08;-0.259249163
B04;B05;D09;0.260495847
B04;B05;D10;-0.260460142
B04;B05;D11;0.263170909
B04;B05;D12;-0.26401379
B04;B06;D01;0.52733013
B04;B06;D02;-0.531131489
B04;B06;D03;0.520109906
B04;B06;D04;-0.52471728
B04;B06;D05;0.51664728
B04;B06;D06;-0.522150135
B04;B06;D07;0.515950142
B04;B06;D08;-0.522671092
B04;B06;D09;0.517117542
B04;B06;D10;-0.525543551
B04;B06;D11;0.521842799
B04;B06;D12;-0.532898256
B04;B07;D01;0.791575668
B04;B07;D02;-0.795206726
B04;B07;D03;0.780988302
B04;B07;D04;-0.786413668
B04;B07;D05;0.775884316
B04;B07;D06;-0.782267309
B04;B07;D07;0.77449193
B04;B07;D08;-0.783267227
B04;B07;D09;0.776418026
B04;B07;D10;-0.787290629
B04;B07;D11;0.783614994
B04;B07;D12;-0.798380793
B04;B08;D01;-0.746974816
B04;B08;D02;0.748553535
B04;B08;D03;-0.737131335
B04;B08;D04;0.740962992
B04;B08;D05;-0.730952705
B04;B08;D06;0.736807986
B04;B08;D07;-0.729046611
B04;B08;D08;0.737531848
B04;B08;D09;-0.733084553
B04;B08;D10;0.742768727
B04;B08;D11;-0.739905022
B04;B08;D12;0.751881871
B04;B8A;D01;1.05407255
B04;B8A;D02;-1.064131516
B04;B8A;D03;1.039833494
B04;B8A;D04;-1.052491222
B04;B8A;D05;1.032306313
B04;B8A;D06;-1.047294589
B04;B8A;D07;1.03053803
B04;B8A;D08;-1.04736741
B04;B8A;D09;1.033646035
B04;B8A;D10;-1.05296566
B04;B8A;D11;1.042462494
B04;B8A;D12;-1.06816824
B04;B09;D01;1.600923778
B04;B09;D02;-1.594038693
B04;B09;D03;1.579436944
B04;B09;D04;-1.576227377
B04;B09;D05;1.568995975
B04;B09;D06;-1.568977368
B04;B09;D07;1.56576449
B04;B09;D08;-1.569680942
B04;B09;D09;1.570694419
B04;B09;D10;-1.579759152
B04;B09;D11;1.584972179
B04;B09;D12;-1.599989879
B04;B10;D01;-0.158652019
B04;B10;D02;0.123240968
B04;B10;D03;-0.156309945
B04;B10;D04;0.122100421
B04;B10;D05;-0.152677118
B04;B10;D06;0.121850665
B04;B10;D07;-0.15206457
B04;B10;D08;0.122621241
B04;B10;D09;-0.153105006
B04;B10;D10;0.12394291
B04;B10;D11;-0.155419914
B04;B10;D12;0.126028239
B04;B11;D01;0.465216877
B04;B11;D02;-0.512479494
B04;B11;D03;0.459387827
B04;B11;D04;-0.508028479
B04;B11;D05;0.457739245
B04;B11;D06;-0.504688971
B04;B11;D07;0.457265447
B04;B11;D08;-0.504941997
B04;B11;D09;0.45881094
B04;B11;D10;-0.506809764
B04;B11;D11;0.462627497
B04;B11;D12;-0.5127624
B04;B12;D01;1.091679863
B04;B12;D02;-1.145858527
B04;B12;D03;1.077356273
B04;B12;D04;-1.134359821
B04;B12;D05;1.070949711
B04;B12;D06;-1.127626814
B04;B12;D07;1.069480058
B04;B12;D08;-1.128023159
B04;B12;D09;1.072372682
B04;B12;D10;-1.134983771
B04;B12;D11;1.082199433
B04;B12;D12;-1.148645237
B05;B01;D01;1.066110613
B05;B01;D02;-1.056504797
B05;B01;D03;1.052442776
B05;B01;D04;-1.045648962
B05;B01;D05;1.045022256
B05;B01;D06;-1.039940152
B05;B01;D07;1.042494826
B05;B01;D08;-1.040862646
B05;B01;D09;1.046480073
B05;B01;D10;-1.047387512
B05;B01;D11;1.055447075
B05;B01;D12;-1.061714758
B05;B02;D01;-1.27533362
B05;B02;D02;1.274412163
B05;B02;D03;-1.258915203
B05;B02;D04;1.260698086
B05;B02;D05;-1.250016009
B05;B02;D06;1.254233624
B05;B02;D07;-1.246666059
B05;B02;D08;1.255282247
B05;B02;D09;-1.251458581
B05;B02;D10;1.263113019
B05;B02;D11;-1.263145015
B05;B02;D12;1.279120298
B05;B03;D01;-0.749414159
B05;B03;D02;0.748383839
B05;B03;D03;-0.739054355
B05;B03;D04;0.740177576
B05;B03;D05;-0.734123787
B05;B03;D06;0.736735158
B05;B03;D07;-0.731828788
B05;B03;D08;0.737470586
B05;B03;D09;-0.735121137
B05;B03;D10;0.741854487
B05;B03;D11;-0.742794246
B05;B03;D12;0.75135754
B05;B04;D01;-0.265625584
B05;B04;D02;0.263266283
B05;B04;D03;-0.261931494
B05;B04;D04;0.260184205
B05;B04;D05;-0.260426535
B05;B04;D06;0.25927509
B05;B04;D07;-0.260185401
B05;B04;D08;0.259246137
B05;B04;D09;-0.260500455
B05;B04;D10;0.260460232
B05;B04;D11;-0.263170828
B05;B04;D12;0.264016503
B05;B06;D01;0.261706672
B05;B06;D02;-0.267868579
B05;B06;D03;0.25818066
B05;B06;D04;-0.264534158
B05;B06;D05;0.256226396
B05;B06;D06;-0.26287475
B05;B06;D07;0.255765136
B05;B06;D08;-0.26342441
B05;B06;D09;0.256618479
B05;B06;D10;-0.265084804
B05;B06;D11;0.258670377
B05;B06;D12;-0.268886795
B05;B07;D01;0.525951535
B05;B07;D02;-0.531944229
B05;B07;D03;0.519057798
B05;B07;D04;-0.526230174
B05;B07;D05;0.515461398
B05;B07;D06;-0.522990198
B05;B07;D07;0.514306856
B05;B07;D08;-0.52401925
B05;B07;D09;0.515919827
B05;B07;D10;-0.526832497
B05;B07;D11;0.520442337
B05;B07;D12;-0.534371797
B05;B08;D01;-1.012595936
B05;B08;D02;1.01182397
B05;B08;D03;-0.999060881
B05;B08;D04;1.001148488
B05;B08;D05;-0.991377059
B05;B08;D06;0.996083441
B05;B08;D07;-0.989231952
B05;B08;D08;0.996779037
B05;B08;D09;-0.993584644
B05;B08;D10;1.003231514
B05;B08;D11;-1.003073547
B05;B08;D12;1.015905229
B05;B8A;D01;0.788451346
B05;B8A;D02;-0.800871702
B05;B8A;D03;0.777905615
B05;B8A;D04;-0.792309209
B05;B8A;D05;0.771890632
B05;B8A;D06;-0.788020298
B05;B8A;D07;0.77035372
B05;B8A;D08;-0.788122509
B05;B8A;D09;0.773152281
B05;B8A;D10;-0.792508906
B05;B8A;D11;0.779289715
B05;B8A;D12;-0.804161512
B05;B09;D01;1.335301782
B05;B09;D02;-1.330781786
B05;B09;D03;1.317507726
B05;B09;D04;-1.316045887
B05;B09;D05;1.308575398
B05;B09;D06;-1.309701629
B05;B09;D07;1.305579535
B05;B09;D08;-1.31043427
B05;B09;D09;1.310194714
B05;B09;D10;-1.319303348
B05;B09;D11;1.32179647
B05;B09;D12;-1.335988412
B05;B10;D01;-0.424270319
B05;B10;D02;0.386507765
B05;B10;D03;-0.418237269
B05;B10;D04;0.38228427
B05;B10;D05;-0.413093475
B05;B10;D06;0.381124697
B05;B10;D07;-0.412248957
B05;B10;D08;0.381866539
B05;B10;D09;-0.413598138
B05;B10;D10;0.384403397
B05;B10;D11;-0.418588668
B05;B10;D12;0.390047438
B05;B11;D01;0.199597373
B05;B11;D02;-0.249216609
B05;B11;D03;0.197460561
B05;B11;D04;-0.247845557
B05;B11;D05;0.197322925
B05;B11;D06;-0.245413403
B05;B11;D07;0.197080803
B05;B11;D08;-0.245694869
B05;B11;D09;0.19831444
B05;B11;D10;-0.246350912
