bande_src,bande_dst,detecteur,delta_t
B01,B02,D01,-2.33038934769866
B01,B02,D02,2.32810729250195
B01,B02,D03,-2.30043570019916
B01,B02,D04,2.30358724419784
B01,B02,D05,-2.28305548529897
B01,B02,D06,2.29169763389655
B01,B02,D07,-2.27951143789687
B01,B02,D08,2.29377668959933
B01,B02,D09,-2.28826682690124
B01,B02,D10,2.30940978039871
B01,B02,D11,-2.30870874319953
B01,B02,D12,2.33990062459634
B01,B03,D01,-1.80486766719696
B01,B03,D02,1.80374115189625
B01,B03,D03,-1.78116712750489
B01,B03,D04,1.78512014720036
B01,B03,D05,-1.76829010749498
B01,B03,D06,1.7759812239965
B01,B03,D07,-1.76646958049969
B01,B03,D08,1.77754890289361
B01,B03,D09,-1.77169450240035
B01,B03,D10,1.78962085549574
B01,B03,D11,-1.78876001189929
B01,B03,D12,1.81270521959959
B01,B04,D01,-1.32287922709656
B01,B04,D02,1.31892224309559
B01,B04,D03,-1.30581610000081
B01,B04,D04,1.3049365830957
B01,B04,D05,-1.2956414575965
B01,B04,D06,1.29805081209634
B01,B04,D07,-1.2946784996966
B01,B04,D08,1.29943831919809
B01,B04,D09,-1.29901444410643
B01,B04,D10,1.30808901749697
B01,B04,D11,-1.30989917529951
B01,B04,D12,1.32612781949865
B01,B05,D01,-1.05899402019713
B01,B05,D02,1.05616589679994
B01,B05,D03,-1.04518090570491
B01,B05,D04,1.04503221179766
B01,B05,D05,-1.03682152639522
B01,B05,D06,1.0391343375959
B01,B05,D07,-1.03612390809576
B01,B05,D08,1.0405806560957
B01,B05,D09,-1.03967312230088
B01,B05,D10,1.04714143859746
B01,B05,D11,-1.049226455194
B01,B05,D12,1.06262375020015
B01,B06,D01,-0.798194790899288
B01,B06,D02,0.790060805098619
B01,B06,D03,-0.787794581403432
B01,B06,D04,0.781175489995803
B01,B06,D05,-0.780925402999856
B01,B06,D06,0.777660731095239
B01,B06,D07,-0.781613528997696
B01,B06,D08,0.778665997699136
B01,B06,D09,-0.784417369206494
B01,B06,D10,0.783722179701726
B01,B06,D11,-0.79100169549929
B01,B06,D12,0.793360714298615
B01,B07,D01,-0.534209316196211
B01,B07,D02,0.526277084798494
